nsp|rel|relkind|rel_owner|rls|persist
admin|admin_users|r|postgres|t|p
admin|audit_logs|r|postgres|t|p
admin|character_layout_drafts|r|postgres|t|p
admin|character_layout_releases|r|postgres|t|p
admin|character_layout_state|r|postgres|t|p
admin|config_drafts|r|postgres|t|p
admin|config_releases|r|postgres|t|p
admin|environment_config|r|postgres|t|p
cs_platform|audit_logs|r|postgres|t|p
cs_platform|export_logs|r|postgres|t|p
cs_platform|outreach_messages|r|postgres|t|p
cs_platform|outreach_sessions|r|postgres|t|p
cs_platform|persona_member_snapshots|r|postgres|t|p
cs_platform|persona_member_state|r|postgres|t|p
cs_platform|persona_refresh_runs|r|postgres|t|p
cs_platform|personas|r|postgres|t|p
cs_platform|persona_users_detail|v|postgres|f|p
cs_platform|user_metrics|v|postgres|f|p
miniapp|character_favorites|r|postgres|t|p
miniapp|character_free_chat_quota_decisions|r|postgres|t|p
miniapp|character_free_chat_quotas|r|postgres|t|p
miniapp|character_ranking_scores|r|postgres|f|p
miniapp|characters|r|postgres|t|p
miniapp|chat_history|r|postgres|f|p
miniapp|chat_message_audio|r|postgres|t|p
miniapp|chat_sessions|r|postgres|t|p
miniapp|daily_checkins|r|postgres|t|p
miniapp|llm_usage_charge_dedup|r|postgres|t|p
miniapp|llm_usage_charges|r|postgres|t|p
miniapp|miniapp_user_settings|r|postgres|t|p
miniapp|notification_reads|r|postgres|t|p
miniapp|notifications|r|postgres|t|p
miniapp|payment_orders|r|postgres|t|p
miniapp|runtime_config|r|postgres|t|p
miniapp|support_conversations|r|postgres|t|p
miniapp|support_messages|r|postgres|t|p
miniapp|user_wallets|r|postgres|t|p
miniapp|users|r|postgres|t|p
miniapp|wallet_ledger|r|postgres|t|p
miniapp|wish_roles|r|postgres|t|p
miniapp|current_chat_history|v|postgres|f|p
miniapp_analytics|funnel_stats|v|postgres|f|p
miniapp_traffic|botlinks_id_seq|S|postgres|f|p
miniapp_traffic|traffic_clicks_id_seq|S|postgres|f|p
miniapp_traffic|botlinks|r|postgres|f|p
miniapp_traffic|traffic_clicks|r|postgres|f|p
miniapp_traffic|traffic_daily_stats|v|postgres|f|p
